source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F17.01-PROFESSIONAL,Data Strategy Manager,professional,JF-F17,F17,F17.01,4,"Data Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.02-PROFESSIONAL,Data Governance Manager,professional,JF-F17,F17,F17.02,4,"Data Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.03-PROFESSIONAL,Data Architect,professional,JF-F17,F17,F17.03,5,"Data Architecture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.04-PROFESSIONAL,Master Data Specialist,professional,JF-F17,F17,F17.04,6,"Master Data Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.05-PROFESSIONAL,Reference Data Specialist,professional,JF-F17,F17,F17.05,4,"Reference Data plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.06-PROFESSIONAL,Data Quality Specialist,professional,JF-F17,F17,F17.06,5,"Data Quality plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.07-PROFESSIONAL,Data Engineer,professional,JF-F17,F17,F17.07,5,"Data Engineering plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.08-PROFESSIONAL,Data Platform Engineer,professional,JF-F17,F17,F17.08,3,"Data Platform plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.09-PROFESSIONAL,BI Developer,professional,JF-F17,F17,F17.09,5,"BI / Reporting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
JP-F17.10-PROFESSIONAL,Data Analyst,professional,JF-F17,F17,F17.10,4,"Analytics plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F17 source title and accountability describe a coherent independently employable data/analytics/AI specialist role. Retain as a reusable Job Profile candidate with data governance, product/dataset, model, AI governance, access and lifecycle authority kept explicit.",decompose-f17-role-work-products-and-validate-data-domain-product-model-ai-access-lifecycle-boundaries
