source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F07.01-PROFESSIONAL,Sales Strategy Specialist,professional,JF-F07,F07,F07.01,6,"Sales Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.02-PROFESSIONAL,Account Manager,professional,JF-F07,F07,F07.02,4,"Account Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.03-PROFESSIONAL,Business Development Manager,professional,JF-F07,F07,F07.03,6,"Opportunity Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.04-PROFESSIONAL,Pipeline Manager,professional,JF-F07,F07,F07.04,4,"Pipeline Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.05-PROFESSIONAL,Pricing Specialist,professional,JF-F07,F07,F07.05,5,"Pricing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.06-PROFESSIONAL,Quotation Specialist,professional,JF-F07,F07,F07.06,5,"Quotation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.07-PROFESSIONAL,Bid & Proposal Manager,professional,JF-F07,F07,F07.07,5,"Proposal / Bid Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.09-PROFESSIONAL,Sales Order Manager,professional,JF-F07,F07,F07.09,6,"Sales Order Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.10-PROFESSIONAL,Channel / Partner Sales Specialist,professional,JF-F07,F07,F07.10,5,"Channel / Partner Sales plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
JP-F07.11-PROFESSIONAL,Sales Compensation Specialist,professional,JF-F07,F07,F07.11,4,"Sales Compensation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F07 source title and accountability describe a coherent independently employable sales/commercial specialist role. Retain as a reusable Job Profile candidate; tenant Positions may combine related sales-operations specialisms without collapsing the reusable job model.,decompose-f07-role-work-products-and-validate-sales-commercial-object-boundaries-authority-and-handoffs
