source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F19.01-PROFESSIONAL,Legal Counsel,professional,JF-F19,F19,F19.01,3,"Legal Advisory plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.04-PROFESSIONAL,Corporate Counsel,professional,JF-F19,F19,F19.04,4,"Corporate Legal plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.05-PROFESSIONAL,Company Secretary,professional,JF-F19,F19,F19.05,4,"Company Secretariat plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.06-PROFESSIONAL,Intellectual Property Counsel,professional,JF-F19,F19,F19.06,4,"Intellectual Property plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.07-PROFESSIONAL,Litigation Counsel,professional,JF-F19,F19,F19.07,5,"Litigation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.08-PROFESSIONAL,Regulatory Counsel,professional,JF-F19,F19,F19.08,3,"Regulatory Legal plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.09-PROFESSIONAL,Employment Counsel,professional,JF-F19,F19,F19.09,4,"Employment Legal plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.10-PROFESSIONAL,Legal Operations Specialist,professional,JF-F19,F19,F19.10,4,"Legal Spend plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.11-PROFESSIONAL,eDiscovery Specialist,professional,JF-F19,F19,F19.11,5,"Legal Hold / EDiscovery plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
JP-F19.12-PROFESSIONAL,Legal Obligations Manager,professional,JF-F19,F19,F19.12,3,"Legal Obligations plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F19 source title and accountability describe a coherent independently employable legal/corporate-secretariat specialist role. Retain as a reusable Job Profile candidate with privilege, confidentiality, legal-hold, matter and authority boundaries kept separate from ordinary access.",decompose-f19-role-work-products-and-validate-legal-matter-privilege-hold-contract-and-secretariat-boundaries
