source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F16.01-PROFESSIONAL,IT Strategy Manager,professional,JF-F16,F16,F16.01,4,"IT Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.02-PROFESSIONAL,Enterprise Architect,professional,JF-F16,F16,F16.02,3,"Enterprise Architecture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.03-PROFESSIONAL,Solution Architect,professional,JF-F16,F16,F16.03,4,"Solution Architecture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.04-PROFESSIONAL,Application Manager,professional,JF-F16,F16,F16.04,6,"Application Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.05-PROFESSIONAL,Software Engineer,professional,JF-F16,F16,F16.05,6,"Software Development plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.06-PROFESSIONAL,DevOps Engineer,professional,JF-F16,F16,F16.06,4,"DevOps plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.07-PROFESSIONAL,Infrastructure Engineer,professional,JF-F16,F16,F16.07,4,"Infrastructure plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.08-PROFESSIONAL,Cloud Engineer,professional,JF-F16,F16,F16.08,4,"Cloud Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.09-PROFESSIONAL,Network Engineer,professional,JF-F16,F16,F16.09,4,"Network Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.10-PROFESSIONAL,Endpoint Engineer,professional,JF-F16,F16,F16.10,5,"Endpoint Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.11-PROFESSIONAL,Identity Administrator,professional,JF-F16,F16,F16.11,5,"Identity Administration plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.12-PROFESSIONAL,IT Service Desk Analyst,professional,JF-F16,F16,F16.12,6,"IT Service Desk plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.14-PROFESSIONAL,IT Problem Manager,professional,JF-F16,F16,F16.14,3,"Problem Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.15-PROFESSIONAL,IT Change Manager,professional,JF-F16,F16,F16.15,6,"Change Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.16-PROFESSIONAL,Release Manager,professional,JF-F16,F16,F16.16,5,"Release Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
JP-F16.17-PROFESSIONAL,Configuration Manager,professional,JF-F16,F16,F16.17,3,"Configuration Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F16 source title and accountability describe a coherent independently employable IT specialist role. Retain as a reusable Job Profile candidate while separating technology strategy/architecture, resources/services, identity, access authority, changes/releases/configuration and recovery evidence.",decompose-f16-role-work-products-and-validate-it-service-resource-identity-access-change-configuration-recovery-boundaries
