source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F18.01-PROFESSIONAL,Security Strategy Manager,professional,JF-F18,F18,F18.01,4,"Security Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.02-PROFESSIONAL,Information Security Policy Specialist,professional,JF-F18,F18,F18.02,4,"Security Policy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.03-PROFESSIONAL,Security Architect,professional,JF-F18,F18,F18.03,3,"Security Architecture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.04-PROFESSIONAL,IAM Security Engineer,professional,JF-F18,F18,F18.04,4,"Identity & Access Security plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.05-PROFESSIONAL,Vulnerability Management Specialist,professional,JF-F18,F18,F18.05,5,"Vulnerability Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.06-PROFESSIONAL,Security Patch Specialist,professional,JF-F18,F18,F18.06,5,"Patch Security plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.07-PROFESSIONAL,SOC Analyst,professional,JF-F18,F18,F18.07,4,"Security Monitoring plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.08-PROFESSIONAL,Cyber Incident Responder,professional,JF-F18,F18,F18.08,6,"Security Incident Response plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.09-PROFESSIONAL,Threat Intelligence Analyst,professional,JF-F18,F18,F18.09,4,"Threat Intelligence plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
JP-F18.10-PROFESSIONAL,Penetration Tester,professional,JF-F18,F18,F18.10,5,"Penetration Testing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F18 source title and accountability describe a coherent independently employable cybersecurity specialist role. Retain as a reusable Job Profile candidate with security policy, access authority, vulnerability/patch, monitoring/threat, incident, test and cryptographic-key boundaries explicit.",decompose-f18-role-work-products-and-validate-security-policy-access-vulnerability-incident-test-key-boundaries
