job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,primary_subfunctions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-001,Masonry Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-002,Masonry Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-003,Masonry Measurement / Set-Out Record,NATIVE,Deliver,Site|Location|Work Package,F27|F26,F27.06|F26.05,Measurement / Set-Out Record,Field/Mobile composition,drawings|dimensions|survey/control,Material / execution,"Measured values, location and attribution",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-004,Masonry Material / Tool / Plant Usage,NATIVE,Deliver,Work Package|Material|Asset|Shift,F10|F22|F27,F10.05|F22.06|F27.06,Consumption / Usage Record,Field/Mobile composition,issued materials|tools|plant|task,Cost / stock / asset history,"Item identity, quantity, time and task",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-005,Masonry Execution / Progress Record,NATIVE,Deliver,Work Package|Activity|Location|Shift,F27,F27.06,Progress / Execution Record,Field/Mobile composition,task|labour|materials,Project progress / valuation,"Quantity, location, time and photo evidence",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-006,Masonry Quality Inspection / Check,NATIVE,Deliver,Work Package|Location,F13,F13.04,Inspection / Quality Check,Field/Mobile composition,criteria|completed work|drawing/specification,Acceptance / defect,"Criteria, result, photos and inspector",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-007,Masonry Defect / Rework Record,NATIVE,Deliver,Work Package|Location|Finding,F13,F13.05,Defect / NCR,Case Workspace,inspection|site observation|requirement,Rework / verification,"Evidence, responsibility, disposition and closure",candidate-revalidation
JOB-BRK,Bricklayer,6,Building Trades,,gap-no-direct-job-profile,WP-BRK-008,Masonry Completion / Handover Record,NATIVE,Deliver,Work Package|Location|Project,F13|F27,F13.08|F27.08,Completion / Handover Record,Field/Mobile composition,accepted work|open items|evidence,Next trade / client / project closeout,"Completion, acceptance and retained evidence",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-001,Carpentry Work Instruction / Task Pack,NATIVE,Deliver,Project|Site|Work Package|Location,F27|F26,F27.06|F26.05,Work Package / Task Instruction,Field/Mobile composition,approved scope|drawings|method|location,Execution,"Exact task, location, revision and assignee",candidate-revalidation
JOB-CARP,Carpenter,13,Building Trades,,gap-no-direct-job-profile,WP-CARP-002,Carpentry Pre-Start / Control Check,NATIVE,Deliver,Site|Work Package|Person,F23|F27,F23.02|F27.06,Pre-Start / Control Record,Field/Mobile composition,task|RAMS|permit|competence,Authorised start,"Acknowledgement, time and exceptions",candidate-revalidation
