job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,work_product_family,exact_activity_ids,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
EJOB-F22.03-PROFESSIONAL,Asset Acquisition Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.03-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.03-PROFESSIONAL-001,Asset Specification,CONTROLLED INFORMATION,F22.03.A01,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset / Property Acquisition [AGG-16-SPATIAL-ASSET],Controlled Document Editor|Object Workspace,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-F22.03-PROFESSIONAL,Asset Acquisition Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.03-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.03-PROFESSIONAL-002,Asset Procurement Handoff,HANDOVER / CLOSEOUT PACKAGE,F22.03.A02,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset / Property Acquisition [AGG-16-SPATIAL-ASSET],Package Workspace|Completeness Checklist,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Controlled completeness set with acceptance, outstanding items, evidence and closure provenance",candidate-explicit
EJOB-F22.03-PROFESSIONAL,Asset Acquisition Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.03-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.03-PROFESSIONAL-003,Asset Receipt Record,EXECUTION RECORD,F22.03.A03,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset / Property Acquisition [AGG-16-SPATIAL-ASSET],Execution Record|Evidence Panel,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,Attributable who/what/when/result record with source context and evidence,candidate-explicit
EJOB-F22.03-PROFESSIONAL,Asset Acquisition Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.03-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.03-PROFESSIONAL-004,Asset Commissioning Record,INSPECTION / TEST,F22.03.A04,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset / Property Acquisition [AGG-16-SPATIAL-ASSET],Test / Inspection Workbench|Evidence Panel,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Inspection/test basis, method, result, evidence, performer/reviewer and acceptance status",candidate-explicit
EJOB-F22.03-PROFESSIONAL,Asset Acquisition Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.03-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.03-PROFESSIONAL-005,Asset Capitalisation Handoff,HANDOVER / CLOSEOUT PACKAGE,F22.03.A05,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset / Property Acquisition [AGG-16-SPATIAL-ASSET],Package Workspace|Completeness Checklist,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Controlled completeness set with acceptance, outstanding items, evidence and closure provenance",candidate-explicit
EJOB-F22.14-PROFESSIONAL,Asset Disposal Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.14-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.14-PROFESSIONAL-001,Asset Disposal Assessment,CASE / ASSESSMENT,F22.14.A01,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset Disposal [AGG-16-SPATIAL-ASSET],Case Workspace|Assessment Form|Evidence Panel,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F22.14-PROFESSIONAL,Asset Disposal Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.14-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.14-PROFESSIONAL-002,Asset Disposal Approval,DECISION / APPROVAL,F22.14.A02,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset Disposal [AGG-16-SPATIAL-ASSET],Decision Workspace|Approval Panel,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Decision, approver/authority, rationale, conditions, date and affected objects",candidate-explicit
EJOB-F22.14-PROFESSIONAL,Asset Disposal Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.14-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.14-PROFESSIONAL-003,Asset Sale / Recycling / Disposal Record,TRANSACTION / COMMITMENT,F22.14.A03,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset Disposal [AGG-16-SPATIAL-ASSET],Transaction Workspace|Approval Panel,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Counterparty/terms/authority with immutable issue, execution, amendment and completion history",candidate-explicit
EJOB-F22.14-PROFESSIONAL,Asset Disposal Specialist,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.14-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.14-PROFESSIONAL-004,Asset Retirement / Lifecycle-End Record,HANDOVER / CLOSEOUT PACKAGE,F22.14.A04,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset Disposal [AGG-16-SPATIAL-ASSET],Package Workspace|Completeness Checklist,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Controlled completeness set with acceptance, outstanding items, evidence and closure provenance",candidate-explicit
EJOB-F22.06-PROFESSIONAL,Asset Information Manager,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.06-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.06-PROFESSIONAL-001,Asset Master Record,CONTROLLED INFORMATION,F22.06.A01|F22.06.A02|F22.06.A03|F22.06.A04,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset [AGG-16-SPATIAL-ASSET],Controlled Document Editor|Object Workspace,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-F22.06-PROFESSIONAL,Asset Information Manager,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.06-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.06-PROFESSIONAL-002,Asset Master Data Change,CHANGE,F22.06.A05,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset [AGG-16-SPATIAL-ASSET],Change Workspace|Impact Assessment,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Baseline, impact assessment, authority decision, implementation and verification evidence",candidate-explicit
EJOB-F22.01-PROFESSIONAL,Asset Strategy Manager,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.01-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.01-PROFESSIONAL-001,Asset Strategy,PLAN / STRATEGY,F22.01.A01|F22.01.A02,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset Investment Plan [AGG-16-ASSET-INVESTMENT],Object Workspace|Structure Browser|Enterprise Grid,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Versioned plan/strategy with assumptions, ownership, review, approval and effective-date provenance",candidate-explicit
EJOB-F22.01-PROFESSIONAL,Asset Strategy Manager,,"Legal, Risk, Assets, HSE & Resilience — F22",JP-F22.01-PROFESSIONAL,reconciled-employment-profile,WP-W9-F22.01-PROFESSIONAL-002,Asset Replacement Policy,CONTROLLED INFORMATION,F22.01.A03,NATIVE,Operate,Asset|Property|Project|Work Order|Space|Lease|Utility,F22,Asset Investment Plan [AGG-16-ASSET-INVESTMENT],Controlled Document Editor|Object Workspace,asset/property needs|capital plan|project/maintenance data|contracts/leases|utility consumption,operations/maintenance|finance/capitalisation|project delivery|lease/accounting|asset lifecycle,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-F20.16-PROFESSIONAL,Assurance Manager,,"Legal, Risk, Assets, HSE & Resilience — F20",JP-F20.16-PROFESSIONAL,reconciled-employment-profile,WP-W9-F20.16-PROFESSIONAL-001,Assurance Provider / Coverage Map,STRUCTURE / BREAKDOWN,F20.16.A01,NATIVE,Operate,Risk|Requirement|Control|Audit|Finding|Assurance,F20,Audit / Assurance [AGG-21-AUDIT],Structure Browser|Enterprise Grid,strategy/risk context|regulatory obligations|control evidence|business/audit data|independence rules,management decisions|remediation|audit committee|control owners|regulatory assurance,"Versioned hierarchy/structure with element identity, relationships, effectivity and approval provenance",candidate-explicit
EJOB-F20.16-PROFESSIONAL,Assurance Manager,,"Legal, Risk, Assets, HSE & Resilience — F20",JP-F20.16-PROFESSIONAL,reconciled-employment-profile,WP-W9-F20.16-PROFESSIONAL-002,Assurance Coordination Plan,PLAN / STRATEGY,F20.16.A02,NATIVE,Operate,Risk|Requirement|Control|Audit|Finding|Assurance,F20,Audit / Assurance [AGG-21-AUDIT],Object Workspace|Structure Browser|Enterprise Grid,strategy/risk context|regulatory obligations|control evidence|business/audit data|independence rules,management decisions|remediation|audit committee|control owners|regulatory assurance,"Versioned plan/strategy with assumptions, ownership, review, approval and effective-date provenance",candidate-explicit
EJOB-F20.16-PROFESSIONAL,Assurance Manager,,"Legal, Risk, Assets, HSE & Resilience — F20",JP-F20.16-PROFESSIONAL,reconciled-employment-profile,WP-W9-F20.16-PROFESSIONAL-003,Assurance Duplication / Gap Analysis,CASE / ASSESSMENT,F20.16.A03,NATIVE,Operate,Risk|Requirement|Control|Audit|Finding|Assurance,F20,Audit / Assurance [AGG-21-AUDIT],Case Workspace|Assessment Form|Evidence Panel,strategy/risk context|regulatory obligations|control evidence|business/audit data|independence rules,management decisions|remediation|audit committee|control owners|regulatory assurance,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F24.02-PROFESSIONAL,Business Continuity Analyst,,"Legal, Risk, Assets, HSE & Resilience — F24",JP-F24.02-PROFESSIONAL,reconciled-employment-profile,WP-W9-F24.02-PROFESSIONAL-001,Business Impact Analysis,CASE / ASSESSMENT,F24.02.A01|F24.02.A02|F24.02.A03,NATIVE,Operate,Continuity Plan|BIA|Crisis|Emergency|Recovery|Physical Security|Visitor|Travel,F24,Continuity / Recovery [AGG-23-CONTINUITY],Case Workspace|Assessment Form|Evidence Panel,critical services/dependencies|site/people context|incident/crisis signals|recovery capabilities|security/travel data,business recovery|emergency services|IT DR|communications|security investigations,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F24.02-PROFESSIONAL,Business Continuity Analyst,,"Legal, Risk, Assets, HSE & Resilience — F24",JP-F24.02-PROFESSIONAL,reconciled-employment-profile,WP-W9-F24.02-PROFESSIONAL-002,Recovery Objectives / Criticality Register,REGISTER / SCHEDULE,F24.02.A04,NATIVE,Operate,Continuity Plan|BIA|Crisis|Emergency|Recovery|Physical Security|Visitor|Travel,F24,Continuity / Recovery [AGG-23-CONTINUITY],Enterprise Grid|Collection View,critical services/dependencies|site/people context|incident/crisis signals|recovery capabilities|security/travel data,business recovery|emergency services|IT DR|communications|security investigations,"Governed entries with owner, status, dates, source references and immutable change history",candidate-explicit
