job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,work_product_family,exact_activity_ids,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
EJOB-F03.05-PROFESSIONAL,Benchmarking Specialist,,Enterprise Direction & Growth — F03,JP-F03.05-PROFESSIONAL,reconciled-employment-profile,WP-W5-F03.05-PROFESSIONAL-001,Benchmark Basis & Selection,CASE / ASSESSMENT,F03.05.A01,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Performance Target / Benchmark Basis [AGG-02-PERFORMANCE],Case Workspace|Assessment Form|Evidence Panel,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F03.05-PROFESSIONAL,Benchmarking Specialist,,Enterprise Direction & Growth — F03,JP-F03.05-PROFESSIONAL,reconciled-employment-profile,WP-W5-F03.05-PROFESSIONAL-002,Comparable Performance Dataset,REGISTER / SCHEDULE,F03.05.A02,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Performance Observation [AGG-02-PERFORMANCE],Enterprise Grid|Collection View,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Governed entries with owner, status, dates, source references and immutable change history",candidate-explicit
EJOB-F03.05-PROFESSIONAL,Benchmarking Specialist,,Enterprise Direction & Growth — F03,JP-F03.05-PROFESSIONAL,reconciled-employment-profile,WP-W5-F03.05-PROFESSIONAL-003,Benchmark Comparison,REPORT / SNAPSHOT,F03.05.A03,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Performance Snapshot [AGG-02-PERFORMANCE],Report Builder|Snapshot View,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Point-in-time/as-of snapshot with source data, calculation/filter and publication provenance",candidate-explicit
EJOB-F03.05-PROFESSIONAL,Benchmarking Specialist,,Enterprise Direction & Growth — F03,JP-F03.05-PROFESSIONAL,reconciled-employment-profile,WP-W5-F03.05-PROFESSIONAL-004,Performance Gap Assessment,CASE / ASSESSMENT,F03.05.A04,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Performance Snapshot [AGG-02-PERFORMANCE],Case Workspace|Assessment Form|Evidence Panel,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-BENEFITS-REALISATION-MANAGER,Benefits Realisation Manager,,Enterprise Direction & Growth — F03,JP-F03.06-PROFESSIONAL|JP-F28.08-PROFESSIONAL,reconciled-employment-profile,WP-W5-BENEFITS-REALISATION-MANAGER-001,Benefits Register,REGISTER / SCHEDULE,F03.06.A01,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Benefit / Performance Target [AGG-02-PERFORMANCE],Enterprise Grid|Collection View,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Governed entries with owner, status, dates, source references and immutable change history",candidate-explicit
EJOB-BENEFITS-REALISATION-MANAGER,Benefits Realisation Manager,,Enterprise Direction & Growth — F03,JP-F03.06-PROFESSIONAL|JP-F28.08-PROFESSIONAL,reconciled-employment-profile,WP-W5-BENEFITS-REALISATION-MANAGER-002,Benefit Baseline,CALCULATION / MODEL,F03.06.A02,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Benefit / Performance Target [AGG-02-PERFORMANCE],Calculation Workbench|Enterprise Grid,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Versioned calculation/model with inputs, assumptions, method, scenario and result provenance",candidate-explicit
EJOB-BENEFITS-REALISATION-MANAGER,Benefits Realisation Manager,,Enterprise Direction & Growth — F03,JP-F03.06-PROFESSIONAL|JP-F28.08-PROFESSIONAL,reconciled-employment-profile,WP-W5-BENEFITS-REALISATION-MANAGER-003,Benefits Measurement Snapshot,REPORT / SNAPSHOT,F03.06.A03,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Benefit / Performance Target [AGG-02-PERFORMANCE],Report Builder|Snapshot View,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Point-in-time/as-of snapshot with source data, calculation/filter and publication provenance",candidate-explicit
EJOB-BENEFITS-REALISATION-MANAGER,Benefits Realisation Manager,,Enterprise Direction & Growth — F03,JP-F03.06-PROFESSIONAL|JP-F28.08-PROFESSIONAL,reconciled-employment-profile,WP-W5-BENEFITS-REALISATION-MANAGER-004,Benefits Validation Record,CASE / ASSESSMENT,F03.06.A04,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Benefit / Performance Target [AGG-02-PERFORMANCE],Case Workspace|Assessment Form|Evidence Panel,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-BENEFITS-REALISATION-MANAGER,Benefits Realisation Manager,,Enterprise Direction & Growth — F03,JP-F03.06-PROFESSIONAL|JP-F28.08-PROFESSIONAL,reconciled-employment-profile,WP-W5-BENEFITS-REALISATION-MANAGER-005,Benefits Realisation Report,REPORT / SNAPSHOT,F03.06.A05,NATIVE,Operate,Enterprise|Performance Period|Objective|KPI,F03,Benefit / Performance Target [AGG-02-PERFORMANCE],Report Builder|Snapshot View,strategy|objectives|KPI definitions|source performance observations,management review|strategy adjustment|corrective action|benefits decisions,"Point-in-time/as-of snapshot with source data, calculation/filter and publication provenance",candidate-explicit
EJOB-F02.01-PROFESSIONAL,Board Governance Manager,,Enterprise Direction & Growth — F02,JP-F02.01-PROFESSIONAL,reconciled-employment-profile,WP-W5-F02.01-PROFESSIONAL-001,Board Meeting Calendar,REGISTER / SCHEDULE,F02.01.A01,NATIVE,Operate,Enterprise|Governance Body|Meeting|Policy,F02,Governance Body / Meeting [AGG-02-GOVERNANCE],Enterprise Grid|Collection View,corporate constitution|governance requirements|legal obligations|authority policy,enterprise decisions|policy execution|delegated authority|assurance/audit,"Governed entries with owner, status, dates, source references and immutable change history",candidate-explicit
